crop_name,adm_id,date,ndvi
wheat,CN061,20010101,0.226
wheat,CN031,20010101,0.314
wheat,CN050,20010101,0.372
wheat,CN033,20010101,0.376
wheat,CN036,20010101,0.515
wheat,CN053,20010101,0.516
wheat,CN037,20010101,0.202
wheat,CN021,20010101,0.188
wheat,CN054,20010101,0.12
wheat,CN062,20010101,0.118
wheat,CN063,20010101,0.119
wheat,CN011,20010101,0.164
wheat,CN015,20010101,0.137
wheat,CN042,20010101,0.33
wheat,CN034,20010101,0.235
wheat,CN052,20010101,0.484
wheat,CN064,20010101,0.097
wheat,CN032,20010101,0.316
wheat,CN065,20010101,0.124
wheat,CN014,20010101,0.171
wheat,CN043,20010101,0.542
wheat,CN051,20010101,0.303
wheat,CN045,20010101,0.5
wheat,CN071,20010101,0.515
wheat,CN013,20010101,0.162
wheat,CN012,20010101,0.174
wheat,CN044,20010101,0.528
wheat,CN035,20010101,0.583
wheat,CN041,20010101,0.268
wheat,CN046,20010101,0.599
wheat,CN061,20010109,0.272
wheat,CN031,20010109,0.346
wheat,CN050,20010109,0.403
wheat,CN033,20010109,0.375
wheat,CN036,20010109,0.414
wheat,CN053,20010109,0.501
wheat,CN037,20010109,0.357
wheat,CN021,20010109,0.131
wheat,CN054,20010109,0.114
wheat,CN062,20010109,0.124
wheat,CN063,20010109,0.12
wheat,CN011,20010109,0.218
wheat,CN015,20010109,0.131
wheat,CN042,20010109,0.374
wheat,CN034,20010109,0.375
wheat,CN052,20010109,0.462
wheat,CN064,20010109,0.099
wheat,CN032,20010109,0.372
wheat,CN065,20010109,0.118
wheat,CN014,20010109,0.208
wheat,CN043,20010109,0.423
wheat,CN051,20010109,0.338
wheat,CN045,20010109,0.501
wheat,CN071,20010109,0.538
wheat,CN013,20010109,0.183
wheat,CN044,20010109,0.531
wheat,CN035,20010109,0.542
wheat,CN041,20010109,0.323
wheat,CN046,20010109,0.619
wheat,CN061,20010117,0.237
wheat,CN031,20010117,0.279
wheat,CN050,20010117,0.335
wheat,CN033,20010117,0.533
wheat,CN036,20010117,0.467
wheat,CN053,20010117,0.499
wheat,CN021,20010117,0.172
wheat,CN054,20010117,0.116
wheat,CN062,20010117,0.12
wheat,CN063,20010117,0.121
wheat,CN011,20010117,0.208
wheat,CN015,20010117,0.148
wheat,CN042,20010117,0.326
wheat,CN034,20010117,0.421
wheat,CN052,20010117,0.469
wheat,CN064,20010117,0.101
wheat,CN032,20010117,0.349
wheat,CN065,20010117,0.114
wheat,CN014,20010117,0.207
wheat,CN043,20010117,0.437
wheat,CN051,20010117,0.419
wheat,CN045,20010117,0.515
wheat,CN071,20010117,0.506
wheat,CN013,20010117,0.152
wheat,CN044,20010117,0.486
wheat,CN035,20010117,0.555
wheat,CN041,20010117,0.207
wheat,CN046,20010117,0.601
wheat,CN061,20010125,0.108
wheat,CN031,20010125,0.302
wheat,CN050,20010125,0.349
wheat,CN033,20010125,0.377
wheat,CN036,20010125,0.347
wheat,CN053,20010125,0.494
wheat,CN037,20010125,0.247
wheat,CN021,20010125,0.147
wheat,CN054,20010125,0.115
wheat,CN062,20010125,0.093
wheat,CN063,20010125,0.123
wheat,CN011,20010125,0.14
wheat,CN015,20010125,0.149
wheat,CN042,20010125,0.285
wheat,CN034,20010125,0.296
wheat,CN052,20010125,0.397
wheat,CN064,20010125,0.098
wheat,CN032,20010125,0.346
wheat,CN065,20010125,0.106
wheat,CN014,20010125,0.125
wheat,CN043,20010125,0.354
wheat,CN051,20010125,0.273
wheat,CN045,20010125,0.437
wheat,CN071,20010125,0.521
wheat,CN013,20010125,0.158
wheat,CN012,20010125,0.152
wheat,CN044,20010125,0.535
wheat,CN035,20010125,0.488
wheat,CN041,20010125,0.224
wheat,CN046,20010125,0.599
wheat,CN061,20010202,0.235
wheat,CN031,20010202,0.327
wheat,CN050,20010202,0.28
wheat,CN033,20010202,0.324
wheat,CN036,20010202,0.399
wheat,CN053,20010202,0.484
wheat,CN037,20010202,0.275
wheat,CN021,20010202,0.154
wheat,CN054,20010202,0.116
wheat,CN062,20010202,0.106
wheat,CN063,20010202,0.113
wheat,CN011,20010202,0.171
wheat,CN015,20010202,0.145
wheat,CN042,20010202,0.27
wheat,CN034,20010202,0.271
wheat,CN052,20010202,0.414
wheat,CN064,20010202,0.098
wheat,CN032,20010202,0.31
wheat,CN065,20010202,0.096
wheat,CN014,20010202,0.185
wheat,CN043,20010202,0.408
wheat,CN051,20010202,0.282
wheat,CN045,20010202,0.477
wheat,CN022,20010202,0.271
wheat,CN071,20010202,0.557
wheat,CN013,20010202,0.168
wheat,CN012,20010202,0.199
wheat,CN044,20010202,0.452
wheat,CN035,20010202,0.611
wheat,CN041,20010202,0.164
wheat,CN046,20010202,0.585
wheat,CN061,20010210,0.267
wheat,CN031,20010210,0.377
wheat,CN050,20010210,0.399
wheat,CN033,20010210,0.403
wheat,CN036,20010210,0.414
wheat,CN053,20010210,0.478
wheat,CN037,20010210,0.254
wheat,CN021,20010210,0.163
wheat,CN054,20010210,0.114
wheat,CN062,20010210,0.122
wheat,CN063,20010210,0.117
wheat,CN011,20010210,0.14
wheat,CN015,20010210,0.148
wheat,CN042,20010210,0.364
wheat,CN034,20010210,0.398
wheat,CN052,20010210,0.447
wheat,CN064,20010210,0.1
wheat,CN032,20010210,0.383
wheat,CN065,20010210,0.102
wheat,CN014,20010210,0.182
wheat,CN043,20010210,0.413
wheat,CN051,20010210,0.435
wheat,CN045,20010210,0.484
wheat,CN022,20010210,0.273
wheat,CN071,20010210,0.561
wheat,CN013,20010210,0.183
wheat,CN012,20010210,0.15
wheat,CN044,20010210,0.488
wheat,CN035,20010210,0.567
wheat,CN023,20010210,0.562
wheat,CN041,20010210,0.31
wheat,CN046,20010210,0.601
wheat,CN061,20010218,0.31
wheat,CN031,20010218,0.414
wheat,CN050,20010218,0.417
wheat,CN033,20010218,0.402
wheat,CN036,20010218,0.469
wheat,CN053,20010218,0.481
wheat,CN037,20010218,0.3
wheat,CN021,20010218,0.179
wheat,CN054,20010218,0.115
wheat,CN062,20010218,0.12
wheat,CN063,20010218,0.119
wheat,CN011,20010218,0.139
wheat,CN015,20010218,0.163
wheat,CN042,20010218,0.372
wheat,CN034,20010218,0.486
wheat,CN052,20010218,0.447
wheat,CN064,20010218,0.103
wheat,CN032,20010218,0.419
wheat,CN065,20010218,0.108
wheat,CN014,20010218,0.243
wheat,CN043,20010218,0.489
wheat,CN051,20010218,0.48
wheat,CN045,20010218,0.464
wheat,CN022,20010218,0.171
wheat,CN071,20010218,0.52
wheat,CN013,20010218,0.214
wheat,CN012,20010218,0.159
wheat,CN044,20010218,0.471
wheat,CN035,20010218,0.523
wheat,CN023,20010218,0.178
wheat,CN041,20010218,0.377
wheat,CN046,20010218,0.56
wheat,CN061,20010226,0.342
wheat,CN031,20010226,0.36
wheat,CN050,20010226,0.359
wheat,CN033,20010226,0.366
wheat,CN036,20010226,0.4
wheat,CN053,20010226,0.476
wheat,CN037,20010226,0.255
wheat,CN021,20010226,0.19
wheat,CN054,20010226,0.113
wheat,CN062,20010226,0.115
wheat,CN063,20010226,0.118
wheat,CN011,20010226,0.149
wheat,CN015,20010226,0.167
wheat,CN042,20010226,0.398
wheat,CN034,20010226,0.395
wheat,CN052,20010226,0.413
wheat,CN064,20010226,0.097
wheat,CN032,20010226,0.335
wheat,CN065,20010226,0.107
wheat,CN014,20010226,0.22
wheat,CN043,20010226,0.356
wheat,CN051,20010226,0.364
wheat,CN045,20010226,0.448
wheat,CN022,20010226,0.175
wheat,CN071,20010226,0.468
wheat,CN013,20010226,0.209
