crop_name,adm_id,date,fpar
maize,CN061,20010101,15.144
maize,CN031,20010101,21.234
maize,CN050,20010101,13.982
maize,CN033,20010101,21.001
maize,CN036,20010101,29.099
maize,CN053,20010101,36.407
maize,CN037,20010101,15.56
maize,CN021,20010101,6.997
maize,CN054,20010101,18.274
maize,CN062,20010101,10.955
maize,CN081,20010101,37.667
maize,CN063,20010101,9.321
maize,CN011,20010101,9.959
maize,CN015,20010101,7.907
maize,CN042,20010101,18.836
maize,CN034,20010101,20.341
maize,CN052,20010101,21.557
maize,CN064,20010101,9.246
maize,CN032,20010101,24.693
maize,CN065,20010101,2.228
maize,CN014,20010101,9.194
maize,CN043,20010101,21.417
maize,CN051,20010101,27.042
maize,CN045,20010101,30.593
maize,CN022,20010101,2.881
maize,CN071,20010101,31.173
maize,CN013,20010101,10.576
maize,CN012,20010101,10.837
maize,CN044,20010101,37.54
maize,CN035,20010101,41.438
maize,CN023,20010101,4.223
maize,CN041,20010101,16.385
maize,CN046,20010101,39.075
maize,CN061,20010111,15.178
maize,CN031,20010111,22.054
maize,CN050,20010111,14.718
maize,CN033,20010111,21.606
maize,CN036,20010111,29.451
maize,CN053,20010111,36.13
maize,CN037,20010111,15.045
maize,CN021,20010111,6.925
maize,CN054,20010111,18.466
maize,CN062,20010111,10.495
maize,CN081,20010111,36.667
maize,CN063,20010111,9.122
maize,CN011,20010111,9.281
maize,CN015,20010111,7.905
maize,CN042,20010111,19.819
maize,CN034,20010111,21.22
maize,CN052,20010111,21.242
maize,CN064,20010111,9.169
maize,CN032,20010111,25.488
maize,CN065,20010111,2.014
maize,CN014,20010111,9.19
maize,CN043,20010111,22.66
maize,CN051,20010111,28.038
maize,CN045,20010111,28.094
maize,CN022,20010111,2.584
maize,CN071,20010111,30.037
maize,CN013,20010111,10.069
maize,CN012,20010111,9.862
maize,CN044,20010111,36.162
maize,CN035,20010111,40.353
maize,CN023,20010111,3.71
maize,CN041,20010111,16.696
maize,CN046,20010111,38.052
maize,CN061,20010121,15.568
maize,CN031,20010121,22.994
maize,CN050,20010121,15.63
maize,CN033,20010121,22.069
maize,CN036,20010121,29.572
maize,CN053,20010121,35.536
maize,CN037,20010121,14.942
maize,CN021,20010121,7.387
maize,CN054,20010121,18.739
maize,CN062,20010121,10.157
maize,CN081,20010121,35.667
maize,CN063,20010121,8.949
maize,CN011,20010121,8.962
maize,CN015,20010121,8.172
maize,CN042,20010121,21.053
maize,CN034,20010121,22.242
maize,CN052,20010121,20.986
maize,CN064,20010121,9.128
maize,CN032,20010121,26.347
maize,CN065,20010121,2.007
maize,CN014,20010121,9.207
maize,CN043,20010121,23.269
maize,CN051,20010121,29.298
maize,CN045,20010121,26.01
maize,CN022,20010121,2.763
maize,CN071,20010121,28.761
maize,CN013,20010121,9.849
maize,CN012,20010121,9.098
maize,CN044,20010121,34.805
maize,CN035,20010121,39.509
maize,CN023,20010121,3.45
maize,CN041,20010121,17.297
maize,CN046,20010121,36.795
maize,CN061,20010201,16.694
maize,CN031,20010201,24.788
maize,CN050,20010201,17.66
maize,CN033,20010201,23.353
maize,CN036,20010201,30.106
maize,CN053,20010201,34.692
maize,CN037,20010201,15.772
maize,CN021,20010201,7.934
maize,CN054,20010201,18.919
maize,CN062,20010201,9.879
maize,CN081,20010201,34.333
maize,CN063,20010201,8.842
maize,CN011,20010201,9.037
maize,CN015,20010201,8.872
maize,CN042,20010201,23.477
maize,CN034,20010201,24.307
maize,CN052,20010201,21.189
maize,CN064,20010201,9.058
maize,CN032,20010201,27.739
maize,CN065,20010201,2.452
maize,CN014,20010201,9.389
maize,CN043,20010201,24.429
maize,CN051,20010201,31.351
maize,CN045,20010201,24.49
maize,CN022,20010201,3.449
maize,CN071,20010201,27.057
maize,CN013,20010201,10.391
maize,CN012,20010201,8.802
maize,CN044,20010201,33.625
maize,CN035,20010201,39.015
maize,CN023,20010201,3.592
maize,CN041,20010201,19.869
maize,CN046,20010201,35.963
maize,CN061,20010211,18.068
maize,CN031,20010211,26.675
maize,CN050,20010211,18.847
maize,CN033,20010211,24.536
maize,CN036,20010211,30.216
maize,CN053,20010211,33.827
maize,CN037,20010211,17.353
maize,CN021,20010211,8.536
maize,CN054,20010211,19.071
maize,CN062,20010211,9.512
maize,CN081,20010211,33.333
maize,CN063,20010211,8.624
maize,CN011,20010211,9.318
maize,CN015,20010211,9.796
maize,CN042,20010211,25.708
maize,CN034,20010211,26.473
maize,CN052,20010211,21.422
maize,CN064,20010211,8.579
maize,CN032,20010211,29.567
maize,CN065,20010211,3.302
maize,CN014,20010211,9.593
maize,CN043,20010211,25.167
maize,CN051,20010211,32.799
maize,CN045,20010211,23.337
maize,CN022,20010211,4.608
maize,CN071,20010211,26.132
maize,CN013,20010211,11.37
maize,CN012,20010211,9.001
maize,CN044,20010211,32.197
maize,CN035,20010211,38.501
maize,CN023,20010211,4.06
maize,CN041,20010211,22.92
maize,CN046,20010211,35.579
maize,CN061,20010221,20.024
maize,CN031,20010221,29.526
maize,CN050,20010221,20.365
maize,CN033,20010221,26.257
maize,CN036,20010221,30.367
maize,CN053,20010221,32.943
maize,CN037,20010221,19.935
maize,CN021,20010221,9.413
maize,CN054,20010221,19.281
maize,CN062,20010221,9.264
maize,CN081,20010221,32.333
maize,CN063,20010221,8.449
maize,CN011,20010221,9.968
maize,CN015,20010221,10.795
maize,CN042,20010221,28.431
maize,CN034,20010221,29.317
maize,CN052,20010221,22.159
maize,CN064,20010221,8.218
maize,CN032,20010221,32.257
maize,CN065,20010221,4.326
maize,CN014,20010221,9.933
maize,CN043,20010221,25.796
maize,CN051,20010221,33.989
maize,CN045,20010221,22.835
maize,CN022,20010221,6.152
maize,CN071,20010221,25.621
maize,CN013,20010221,13.017
maize,CN012,20010221,9.766
maize,CN044,20010221,30.902
maize,CN035,20010221,38.273
maize,CN023,20010221,4.945
maize,CN041,20010221,27.308
maize,CN046,20010221,36.194
maize,CN061,20010301,21.861
maize,CN031,20010301,32.126
maize,CN050,20010301,21.324
maize,CN033,20010301,27.704
maize,CN036,20010301,30.328
maize,CN053,20010301,32.312
maize,CN037,20010301,22.725
maize,CN021,20010301,10.097
maize,CN054,20010301,19.49
maize,CN062,20010301,9.23
maize,CN081,20010301,31.667
maize,CN063,20010301,8.408
maize,CN011,20010301,10.631
maize,CN015,20010301,11.392
maize,CN042,20010301,30.739
maize,CN034,20010301,31.941
maize,CN052,20010301,22.944
maize,CN064,20010301,7.936
maize,CN032,20010301,34.813
maize,CN065,20010301,5.327
maize,CN014,20010301,10.283
maize,CN043,20010301,26.143
maize,CN051,20010301,34.576
maize,CN045,20010301,22.993
maize,CN022,20010301,7.192
maize,CN071,20010301,25.758
maize,CN013,20010301,14.793
maize,CN012,20010301,10.683
maize,CN044,20010301,30.215
maize,CN035,20010301,38.173
maize,CN023,20010301,5.49
maize,CN041,20010301,31.668
maize,CN046,20010301,37.422
maize,CN061,20010311,24.469
maize,CN031,20010311,35.508
maize,CN050,20010311,22.677
maize,CN033,20010311,29.453
